region,state,agro_zone,crop_type,crop_variety,soil_type,soil_pH,soil_nitrogen,soil_phosphorus,soil_potassium,rainfall_mm,temperature_C,fertilizer_type,fertilizer_amount_kg_ha,irrigation_type,yield_kg_ha,humidity
Northcentral,Niger,Northern Guinea Savanna,Cassava,TMS 98/0505,Sandy Loam,4.2,36.7,78.6,155.9,1138.2,24.5,Organic,21.0,Drip,10652.5,72.5
Northwest,Katsina,Northern Guinea Savanna,Sorghum,SK 5912,Lateritic,7.5,74.8,16.5,70.8,750.8,22.9,Urea,132.7,Rainfed,1620.9,40.4
Southsouth,Rivers,Humid Forest,Yam,Pona,Lateritic,7.1,139.2,20.8,166.0,1929.5,32.9,NPK,71.9,Drip,7212.9,95.2
Southwest,Ondo,Humid Forest,Rice,NERICA-4,Lateritic,8.1,71.4,65.4,63.3,2098.5,29.0,NPK,179.6,Rainfed,2610.1,90.7
Southwest,Oyo,Derived Savanna,Cassava,TMS 30572,Clay,5.1,133.0,76.8,124.6,1402.6,25.2,NPK,45.3,Rainfed,11462.7,61.6
Northeast,Adamawa,Northern Guinea Savanna,Sorghum,SK 5912,Loamy,4.8,112.2,59.8,14.8,740.1,35.6,SSP,153.1,Rainfed,659.6,61.3
Southeast,Abia,Humid Forest,Rice,NERICA-4,Loamy,6.6,77.5,99.3,168.1,2313.4,24.7,None,0.0,Surface,3072.6,93.4
Northcentral,Niger,Derived Savanna,Cassava,Oko-Iyawo,Sandy Loam,6.9,16.5,59.3,68.4,1388.6,24.5,Urea,58.9,Rainfed,7785.6,58.2
Southwest,Oyo,Derived Savanna,Cassava,TME 419,Lateritic,4.2,55.2,23.8,104.8,1607.4,30.6,SSP,32.1,Drip,7881.7,50.3
Northwest,Kano,Sudan Savanna,Sorghum,CSR-01,Alluvial,6.3,65.0,109.2,70.1,455.1,35.0,Urea,136.9,Drip,3108.3,51.5
Northwest,Kaduna,Northern Guinea Savanna,Beans,Sampea-7,Alluvial,6.2,84.2,95.2,34.5,1148.2,23.1,NPK,162.4,Rainfed,1131.9,37.2
Northeast,Taraba,Northern Guinea Savanna,Sorghum,SAMSORG 14,Lateritic,5.7,94.2,104.5,14.1,1248.6,26.2,NPK,54.1,Rainfed,507.9,42.9
Northwest,Katsina,Sudan Savanna,Sorghum,SAMSORG 17,Alluvial,4.0,86.3,96.8,73.0,853.8,31.7,NPK,116.8,Surface,780.8,49.3
Southeast,Enugu,Humid Forest,Yam,Water Yam,Sandy Loam,5.5,97.1,66.2,103.9,1504.7,29.0,Urea,153.5,Rainfed,7603.6,87.5
Southwest,Lagos,Humid Forest,Rice,FARO 52,Alluvial,4.5,90.0,79.9,204.9,2411.7,27.8,SSP,24.0,Surface,3068.0,96.8
Southsouth,Edo,Derived Savanna,Cassava,TMS 98/0505,Loamy,6.3,125.0,73.3,96.5,1588.4,26.3,NPK,101.5,Surface,12002.9,80.7
Northeast,Gombe,Sudan Savanna,Sorghum,ICSV 400,Loamy,7.3,69.3,99.3,57.1,975.2,27.9,None,0.0,Rainfed,1729.6,36.0
Northeast,Bauchi,Northern Guinea Savanna,Maize,DTMA,Loamy,7.4,77.6,76.7,130.2,1104.3,30.6,Urea,164.4,Surface,3632.7,46.7
Northcentral,Kwara,Derived Savanna,Cassava,TME 419,Alluvial,6.4,136.0,12.7,118.8,1419.3,26.9,Urea,55.9,Rainfed,10012.6,58.5
Southwest,Ekiti,Humid Forest,Rice,Ofada,Sandy Loam,5.7,103.5,86.0,35.2,2441.5,30.2,NPK,109.2,Sprinkler,3756.1,84.8
Southwest,Ekiti,Humid Forest,Rice,NERICA-1,Alluvial,6.2,135.4,95.8,107.3,2538.0,31.3,Organic,103.4,Surface,4095.5,93.8
Southwest,Kwara,Derived Savanna,Cassava,TMS 30572,Sandy,7.3,64.1,13.5,181.8,1349.5,26.4,SSP,142.5,Rainfed,8548.6,55.2
Southsouth,Delta,Humid Forest,Cassava,TME 419,Sandy Loam,5.0,42.6,75.4,177.7,1863.4,32.3,None,0.0,Rainfed,10334.1,88.6
Northwest,Kano,Sudan Savanna,Sorghum,SK 5912,Clay Loam,7.5,47.3,92.0,111.4,446.9,35.4,NPK,31.0,None,2284.4,38.7
Southwest,Ogun,Humid Forest,Yam,Pona,Alluvial,7.1,54.4,77.2,175.8,1552.9,26.3,NPK,69.9,Surface,7483.7,87.1
Northwest,Zamfara,Sahel Savanna,Sorghum,CSR-01,Alluvial,7.8,148.0,48.2,88.2,263.0,30.4,Organic,36.9,None,1336.8,38.4
Northwest,Kaduna,Northern Guinea Savanna,Maize,DMR-LSR-Y,Lateritic,5.9,90.3,104.5,67.4,810.4,26.8,Urea,80.6,Rainfed,3735.5,65.1
Northwest,Sokoto,Sudan Savanna,Sorghum,SAMSORG 14,Sandy,8.3,37.9,31.6,111.8,910.8,29.1,NPK,55.5,Surface,2541.7,49.5
Northcentral,Benue,Derived Savanna,Cassava,TMS 98/0505,Sandy,5.1,108.3,107.9,158.2,1492.7,28.2,Organic,176.3,Rainfed,11483.8,61.1
Southwest,Oyo,Derived Savanna,Cassava,TMS 30572,Sandy Loam,5.3,97.5,5.4,70.6,1479.4,26.3,NPK,157.9,Rainfed,3844.1,55.1
Southsouth,Rivers,Humid Forest,Rice,NERICA-4,Clay Loam,6.5,93.3,58.5,101.8,2362.8,29.7,NPK,119.4,Surface,3922.0,99.5
Northcentral,Niger,Northern Guinea Savanna,Beans,Sampea-14,Loamy,6.7,9.3,96.8,29.8,794.4,23.2,Urea,169.4,Rainfed,1755.7,40.2
Northcentral,Kogi,Derived Savanna,Cassava,NR 8082,Sandy,5.2,72.3,35.5,122.0,1025.9,34.0,Organic,116.6,Rainfed,11280.9,60.7
Southeast,Ebonyi,Humid Forest,Rice,NERICA-1,Clay Loam,6.3,138.9,74.1,118.1,2390.1,30.7,NPK,36.7,Rainfed,3645.1,85.3
Southsouth,Delta,Derived Savanna,Maize,DTMA,Alluvial,7.5,82.5,61.8,100.8,949.2,30.3,Urea,141.6,Rainfed,3750.0,53.1
Southsouth,Delta,Derived Savanna,Cassava,TMS 98/0505,Clay Loam,4.0,22.9,53.2,40.8,1404.5,33.4,Urea,63.7,Drip,1377.3,77.5
Northcentral,Nasarawa,Northern Guinea Savanna,Sorghum,CSR-01,Clay,5.5,63.4,93.4,113.4,883.4,28.1,NPK,126.2,Drip,2467.7,52.4
Southeast,Ebonyi,Humid Forest,Cassava,TMS 30572,Sandy Loam,4.2,19.0,86.8,100.7,1525.6,27.2,SSP,156.4,Drip,10531.7,96.1
Northwest,Kaduna,Northern Guinea Savanna,Sorghum,SAMSORG 14,Lateritic,4.6,131.1,50.1,18.3,834.3,30.2,NPK,80.0,Rainfed,1150.8,42.6
Northcentral,Plateau,Northern Guinea Savanna,Cassava,TMS 30572,Loamy,4.6,102.1,97.8,127.6,1211.7,21.1,NPK,75.3,Rainfed,6917.2,70.5
Southsouth,Edo,Derived Savanna,Cassava,TMS 30572,Alluvial,5.3,100.0,31.0,165.8,1598.0,34.6,None,0.0,Surface,9998.7,63.8
Northcentral,Niger,Northern Guinea Savanna,Maize,SAMMAZ 15,Sandy,7.4,135.0,72.1,136.8,837.0,31.9,NPK,67.2,Surface,3567.4,66.6
Southsouth,Delta,Derived Savanna,Cassava,Oko-Iyawo,Sandy,7.3,26.2,108.5,212.2,1115.9,33.2,NPK,146.5,Rainfed,8114.8,76.2
Northeast,Adamawa,Northern Guinea Savanna,Cassava,NR 8082,Clay,4.2,35.4,13.6,71.1,1202.4,29.2,NPK,27.3,Rainfed,4262.7,44.0
Southsouth,Delta,Derived Savanna,Rice,FARO 44,Sandy Loam,5.8,148.9,13.5,53.4,1441.3,34.5,Organic,59.0,Rainfed,2437.2,70.9
Northcentral,Niger,Northern Guinea Savanna,Sorghum,SAMSORG 17,Sandy Loam,7.9,144.7,15.6,194.5,936.6,23.5,Urea,22.5,Rainfed,1890.9,41.0
Southsouth,Cross River,Humid Forest,Yam,Aerial Yam,Lateritic,6.8,120.2,51.3,215.8,1842.9,25.6,NPK,37.3,Surface,7656.8,84.4
Southwest,Osun,Derived Savanna,Rice,FARO 52,Clay Loam,6.7,75.1,18.5,151.9,1412.9,30.7,NPK,162.1,Rainfed,3280.1,66.3
Northeast,Bauchi,Sudan Savanna,Sorghum,SK 5912,Sandy,4.3,21.2,92.1,125.8,568.9,36.0,Urea,85.7,Drip,1257.8,57.5
Northeast,Yobe,Sudan Savanna,Sorghum,ICSV 400,Loamy,7.9,125.3,67.8,185.1,479.0,26.6,Urea,122.8,Rainfed,2137.3,44.1
Northeast,Gombe,Sudan Savanna,Sorghum,SK 5912,Sandy Loam,5.7,113.3,60.5,90.4,587.5,28.4,Organic,144.3,Rainfed,2281.8,27.0
Southwest,Ogun,Humid Forest,Rice,FARO 52,Alluvial,5.2,78.7,77.0,134.1,1706.3,25.0,NPK,115.9,Rainfed,3599.9,86.0
Southwest,Oyo,Derived Savanna,Rice,NERICA-1,Clay,5.1,126.1,94.8,30.4,1307.7,32.1,Urea,111.7,Surface,3550.4,66.8
Southwest,Osun,Derived Savanna,Pepper,Nsukka Yellow,Sandy Loam,7.8,67.5,96.9,168.8,1426.6,22.8,Urea,38.2,Rainfed,4570.6,79.9
Northeast,Bauchi,Sudan Savanna,Sorghum,ICSV 400,Lateritic,7.5,18.6,52.9,126.6,508.4,36.6,Urea,177.8,Rainfed,2087.8,31.0
Northwest,Sokoto,Sahel Savanna,Sorghum,CSR-01,Sandy,6.1,13.6,95.1,187.7,593.5,34.3,Urea,172.7,Surface,878.5,35.2
Southeast,Anambra,Humid Forest,Rice,NERICA-1,Clay,7.2,101.7,109.8,120.2,1476.0,26.9,NPK,143.9,Surface,3518.7,70.1
Southeast,Enugu,Humid Forest,Cassava,TMS 30572,Loamy,7.7,14.5,33.8,148.7,1757.8,25.3,NPK,80.3,Drip,8928.2,87.9
Northwest,Sokoto,Sudan Savanna,Sorghum,SK 5912,Sandy Loam,8.4,16.7,85.2,186.8,972.7,33.5,SSP,118.9,Rainfed,1531.4,37.1
Southwest,Oyo,Humid Forest,Cassava,TME 419,Loamy,5.9,114.4,28.7,214.3,1914.0,31.8,NPK,171.5,None,10977.1,78.7
Southsouth,Delta,Derived Savanna,Maize,DMR-LSR-Y,Loamy,6.1,88.5,96.7,73.6,1065.6,28.8,NPK,90.0,Sprinkler,3968.4,71.6
Southsouth,Delta,Humid Forest,Rice,FARO 52,Sandy,5.5,124.6,16.6,76.0,1859.0,32.9,Organic,95.1,Surface,3798.9,79.8
Northwest,Zamfara,Sudan Savanna,Sorghum,ICSV 400,Sandy Loam,4.5,66.5,14.5,200.1,803.7,29.7,Urea,135.0,Rainfed,1111.6,40.1
Southsouth,Bayelsa,Humid Forest,Rice,FARO 44,Clay,7.5,83.6,73.2,216.1,2055.6,30.0,NPK,137.3,Surface,3362.2,80.0
Northeast,Adamawa,Northern Guinea Savanna,Maize,SAMMAZ 14,Sandy Loam,5.9,125.9,54.4,77.1,1100.2,21.9,NPK,69.6,Rainfed,3584.5,66.0
Northeast,Bauchi,Sudan Savanna,Sorghum,ICSV 400,Clay Loam,7.5,133.8,41.4,211.1,904.2,26.3,NPK,33.2,Rainfed,2197.4,25.8
Southwest,Kwara,Derived Savanna,Cassava,TMS 30572,Clay Loam,5.9,12.4,108.4,78.5,1147.2,26.9,Urea,85.0,Rainfed,10500.1,65.4
Northcentral,Plateau,Northern Guinea Savanna,Beans,IT90K-277-2,Clay,5.6,10.9,45.7,107.5,699.1,21.6,NPK,123.9,Rainfed,1297.6,38.0
